Isaiah 44:6,Keach: Q1
Psalm 8:1,Keach: Q1
Psalm 97:9,Keach: Q1
1 Cor. 10:31,Keach: Q2
Psalm 73:25-26,Keach: Q2
Rom. 1:18-20,Keach: Q3
Psalm 19:1-2,Keach: Q3
2 Tim. 3:15,Keach: Q3
1 Cor. 1:21-24,Keach: Q3
1 Cor. 2:9-10,Keach: Q3
2 Peter 1:21,Keach: Q4
2 Timothy 3:16-17,Keach: Q4
Isaiah 8:20,Keach: Q4
John 5:39,Keach: Q6
Luke 16:29,Keach: Q6
Acts 8:28-30,Keach: Q6
Acts 17:11,Keach: Q6
2 Tim. 3:16-17,Keach: Q7
John 20:31,Keach: Q7
Acts 24:14,Keach: Q7
1 Cor. 10:11,Keach: Q7
Eccles. 12:13,Keach: Q7
Deut. 6:4,Keach: Q9
Jeremiah 10:10,Keach: Q9
1 Cor. 8:6,Keach: Q10
John 10:30,Keach: Q10
John 14:9,Keach: Q10
Acts 5:3-4,Keach: Q10
Matt. 28:19,Keach: Q10
2 Cor. 13:14,Keach: Q10
Eph. 1:11,Keach: Q11
Rom. 11:36,Keach: Q11
Dan. 4:35,Keach: Q11
Gen. 1:1,Keach: Q12
Rev. 4:11,Keach: Q12
Matt. 6:26,Keach: Q12
Acts 14:17,Keach: Q12
Gen. 1:1,Keach: Q13
Heb. 11:3,Keach: Q13
Ex. 20:11,Keach: Q13
Gen. 1:31,Keach: Q13
Gen. 1:27,Keach: Q14
Col. 3:10,Keach: Q14
Eph. 4:24,Keach: Q14
Gen. 1:28,Keach: Q14
Neh. 9:6,Keach: Q15
Col. 1:17,Keach: Q15
Heb. 1:3,Keach: Q15
Ps. 103:19,Keach: Q15
Matt. 10:29-30,Keach: Q15
Gen. 2:16-17,Keach: Q16
Gal. 3:12,Keach: Q16
Rom. 5:12,Keach: Q16
Gen. 3:6,Keach: Q17
Eccles. 7:29,Keach: Q17
Rom. 5:12,Keach: Q17
1 John 3:4,Keach: Q18
Rom. 5:13,Keach: Q18
Gen. 3:6, 12, 13,Keach: Q19
1 Cor. 15:21-22,Keach: Q20
Rom. 5:12, 18-19,Keach: Q20
Ps. 51:5,Keach: Q21
Rom. 5:18-19,Keach: Q21
Is. 64:6,Keach: Q21
Rom. 5:19,Keach: Q22
Rom. 3:10,Keach: Q22
Eph. 2:1,Keach: Q22
Is. 53:6,Keach: Q22
Ps. 51:5,Keach: Q22
Matt. 15:19,Keach: Q22
Gen. 3:8,24,Keach: Q23
Eph. 2:3,Keach: Q23
Gal. 3:10,Keach: Q23
Rom. 6:23,Keach: Q23
Matt. 25:41-46,Keach: Q23
Ps. 9:1,Keach: Q23
Eph. 1:3-4,Keach: Q24
2 Thess. 2:13,Keach: Q24
Rom. 5:21,Keach: Q24
Acts 13:8,Keach: Q24
Jer. 31:33,Keach: Q24
Gal. 3:13,Keach: Q25
1 Tim. 2:5,Keach: Q25
John 1:14,Keach: Q25
1 Tim. 3:16,Keach: Q25
Rom. 9:5,Keach: Q25
Col. 2:9,Keach: Q25
